numero-experimentation,type-experimentation,site-essai,systeme-essai,lot-cellules,passage,stress,temps-traitement,genes-analyses,proteine-correspondante,proteines-analysees,gene-correspondant,projet,nom-item,numero-item,type-echantillon,nom-r-et-d,nom-commercial,reference-produit,pourcentage-produit,genre,espece,fold-change,augmentation-diminution,notation
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,1% + 1µg/ml",,,"2,748",175 %,
22-PCR-55,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium + Vitamine B5,I22-01,mélange,Codium fermenté PENT,,ALGxxx,"0,1% + 1µg/ml",,,"0,624",-38 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,NT,,ref,,,,,,,1,Ref,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,NT,,ref,,,,,,,1,Ref,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,NT,,ref,,,,,,,1,Ref,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"80,67",707 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"28,741",2774 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,MKI67,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,1 %,,,"0,531",-47 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,FLG,https://www.ncbi.nlm.nih.gov/gene/2312,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"3,336",234 %,
23-PCR-11,PCR,CODIF INTERNATIONAL,NHEK,KR2H045,R3,Pas de stress,72h,IVL,,,,P18-36,Codium,I22-01,substance principale,Codium fermenté PENT,,ALGxxx,"0,50 %",,,"27,519",2652 %,
